id,employee_code,name,email,department_id,current_role_id,experience_years,career_interest_role_id,bio,created_at,updated_at
6b7caa54-6256-45fe-aff1-348f381337da,EMP001,Arun Kumar,arun.kumar@novatech.com,af5f5ec7-b5a3-44b5-ad61-9e36f810f733,75c250d6-2771-4448-95bd-80fe2e18df55,3,d9b92412-1397-4dc9-b3ec-988ddf659128,Enthusiastic Backend Developer passionate about scaling distributed microservices and transitioning into Machine Learning Engineer role.,2026-09-19T13:04:18.302024,2026-09-19T13:04:18.302052
936fbdc1-749b-49b8-aa18-464519340237,EMP002,Riley Iyer,riley.iyer2@novatech.com,d91ed70e-5509-4074-b041-9dea03aa2b1f,c1f84f5d-18f1-4246-b42b-3bf448cbaeaa,6,1f73f29e-025f-4545-b7fd-63f44d0f2bb5,Automation Test Engineer with 6 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302128,2026-09-19T13:04:18.302130
71aefff6-4688-4280-9027-ea1819a7b67c,EMP003,Jordan Mehta,jordan.mehta3@novatech.com,af5f5ec7-b5a3-44b5-ad61-9e36f810f733,75c250d6-2771-4448-95bd-80fe2e18df55,6,75c250d6-2771-4448-95bd-80fe2e18df55,Backend Developer with 6 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302304,2026-09-19T13:04:18.302306
cb7f9679-b154-4014-87a4-103446d722ca,EMP004,Nisha Mehta,nisha.mehta4@novatech.com,1f5712d1-05f3-49a7-9781-886cbd77b69d,4dede0c2-01a5-43cd-931e-39778cc5ba19,3,9ddb77c4-2a59-431a-82a3-d60f058ddc09,Security Engineer with 3 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302431,2026-09-19T13:04:18.302433
f72d9fd7-f7d3-472b-b1a4-c67528f5400b,EMP005,Kavya Nair,kavya.nair5@novatech.com,af5f5ec7-b5a3-44b5-ad61-9e36f810f733,1f73f29e-025f-4545-b7fd-63f44d0f2bb5,8,ad25a7ae-6f52-401e-9428-6ca36523a8df,Full Stack Developer with 8 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302518,2026-09-19T13:04:18.302519
9904bdac-3b1d-48bc-b6e7-4cf8e69cb6ab,EMP006,Riley Verma,riley.verma6@novatech.com,1f5712d1-05f3-49a7-9781-886cbd77b69d,63931d8c-5574-4e87-98c4-cb0dc68aba27,10,9ddb77c4-2a59-431a-82a3-d60f058ddc09,Cybersecurity Analyst with 10 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302605,2026-09-19T13:04:18.302607
31bbc0ba-5f76-4ac3-993b-523a71236238,EMP007,Priya Johnson,priya.johnson7@novatech.com,af5f5ec7-b5a3-44b5-ad61-9e36f810f733,1f73f29e-025f-4545-b7fd-63f44d0f2bb5,5,1f73f29e-025f-4545-b7fd-63f44d0f2bb5,Full Stack Developer with 5 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302708,2026-09-19T13:04:18.302710
3b063408-d1c8-4b40-a67e-944326f81538,EMP008,Vikram Gupta,vikram.gupta8@novatech.com,94d0aa25-189d-4fa6-bbbf-dc4334891f5c,1eae1419-4bc5-433f-b789-5888c9766785,6,db9a8d16-06ee-4152-94e6-d1d0f73c9224,AI Engineer with 6 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302816,2026-09-19T13:04:18.302818
81d15c93-8452-47c9-9f21-faeb216c256d,EMP009,Sneha Williams,sneha.williams9@novatech.com,9d88fcbe-41e2-4b2c-8ae3-edea8edbffa9,785fee39-fa91-451d-8013-3355eb13a0ef,5,043abe9c-54a8-4867-ab76-c4261fbfd3c5,MLOps Engineer with 5 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302903,2026-09-19T13:04:18.302905
fd72e86f-d8d2-4e82-98f2-91bd3938f647,EMP010,Ananya Gupta,ananya.gupta10@novatech.com,94d0aa25-189d-4fa6-bbbf-dc4334891f5c,7ec63567-3e22-41f6-99a6-e7016157aae1,6,75c250d6-2771-4448-95bd-80fe2e18df55,Data Analyst with 6 years of experience at NovaTech Solutions.,2026-09-19T13:04:18.302990,2026-09-19T13:04:18.302992
